"Tabela 3219 - Domicílios particulares permanentes, por número de moradores, segundo a situação do domicílio, o tipo de domicílio, a condição de ocupação e a existência de banheiro ou sanitário e esgotamento sanitário"
"Variável - Domicílios particulares permanentes (Unidades)"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Ano x Número de moradores x Situação do domicílio x Tipo de domicílio"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","2010"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total","Casa","Casa de vila ou em condomínio","Apartamento","Habitação em casa de cômodos, cortiço ou cabeça de porco","Oca ou maloca"
"3304904058","Bom Retiro - São Gonçalo (RJ)","Total","Total","6611","6260","288","49","14","-"
"3304904059","Gebara - São Gonçalo (RJ)","Total","Total","174","173","-","-","1","-"
"3304904060","Guarani - São Gonçalo (RJ)","Total","Total","587","583","1","2","1","-"
"3304904061","Guaxindiba - São Gonçalo (RJ)","Total","Total","1206","1195","10","-","1","-"
"3304904062","Jardim Catarina - São Gonçalo (RJ)","Total","Total","23422","21958","1118","219","127","-"
"3304904063","Lagoinha II - São Gonçalo (RJ)","Total","Total","1638","1411","140","83","4","-"
"3304904064","Laranjal - São Gonçalo (RJ)","Total","Total","6652","5578","782","241","51","-"
"3304904065","Largo da Idéia II - São Gonçalo (RJ)","Total","Total","244","239","3","2","-","-"
"3304904066","Marambaia - São Gonçalo (RJ)","Total","Total","6385","5945","371","42","27","-"
"3304904067","Miriambi - São Gonçalo (RJ)","Total","Total","2390","2004","316","69","1","-"
"3304904068","Monjolos - São Gonçalo (RJ)","Total","Total","2817","2638","173","6","-","-"
"3304904069","Pacheco II - São Gonçalo (RJ)","Total","Total","1709","1183","488","24","14","-"
"3304904070","Raul Veiga II - São Gonçalo (RJ)","Total","Total","871","815","31","24","1","-"
"3304904071","Sacramento II - São Gonçalo (RJ)","Total","Total","887","758","121","8","-","-"
"3304904072","Santa Luzia - São Gonçalo (RJ)","Total","Total","5470","4421","977","42","30","-"
"3304904073","Vila Três - São Gonçalo (RJ)","Total","Total","1313","834","215","264","-","-"
"3304904074","Vista Alegre - São Gonçalo (RJ)","Total","Total","7114","6036","1044","30","4","-"
"3304904075","Barro Vermelho I - São Gonçalo (RJ)","Total","Total","3248","2801","293","154","-","-"
"3304904076","Boa Vista - São Gonçalo (RJ)","Total","Total","5620","5287","190","48","95","-"
"3304904077","Brasilândia II - São Gonçalo (RJ)","Total","Total","1658","493","-","1165","-","-"
"3304904078","Camarão - São Gonçalo (RJ)","Total","Total","1152","1009","87","56","-","-"
"3304904079","Covanca I - São Gonçalo (RJ)","Total","Total","2548","2445","38","64","1","-"
"3304904080","Gradim - São Gonçalo (RJ)","Total","Total","5367","4854","118","354","41","-"
"3304904081","Mangueira - São Gonçalo (RJ)","Total","Total","1246","987","2","256","1","-"
"3304904082","Neves I - São Gonçalo (RJ)","Total","Total","2101","1593","298","206","4","-"
"3304904083","Parada Quarenta - São Gonçalo (RJ)","Total","Total","1011","717","33","261","-","-"
"3304904084","Paraiso - São Gonçalo (RJ)","Total","Total","2356","2107","99","150","-","-"
"3304904085","Patronato - São Gonçalo (RJ)","Total","Total","1328","1080","11","237","-","-"
"3304904086","Pita I - São Gonçalo (RJ)","Total","Total","2483","2073","20","390","-","-"
"3304904087","Porto da Madame - São Gonçalo (RJ)","Total","Total","2639","2507","53","77","2","-"
"3304904088","Porto Novo - São Gonçalo (RJ)","Total","Total","5512","4913","74","519","6","-"
"3304904089","Porto da Pedra - São Gonçalo (RJ)","Total","Total","4556","3941","229","385","1","-"
"3304904090","Porto Velho - São Gonçalo (RJ)","Total","Total","3426","3146","54","223","3","-"
"3304904091","Rosane - São Gonçalo (RJ)","Total","Total","533","495","5","33","-","-"
"3304904092","Santa Catarina - São Gonçalo (RJ)","Total","Total","3142","2659","214","261","8","-"
"3304904093","Vila Lage - São Gonçalo (RJ)","Total","Total","3083","1500","10","1572","1","-"
"3304904094","Zé Garoto II - São Gonçalo (RJ)","Total","Total","1301","1032","74","195","-","-"
"3304904095","Barro Vermelho II - São Gonçalo (RJ)","Total","Total","1199","1000","79","120","-","-"
"3304904096","Covanca II - São Gonçalo (RJ)","Total","Total","1741","1605","27","108","1","-"
"3304904097","Engenho Pequeno II - São Gonçalo (RJ)","Total","Total","3341","3112","140","87","2","-"
"3304904098","Lindo Parque II - São Gonçalo (RJ)","Total","Total","2000","1982","3","15","-","-"
"3304904099","Maria Paula II - São Gonçalo (RJ)","Total","Total","1378","1212","158","8","-","-"
"3304904100","Morro do Castro - São Gonçalo (RJ)","Total","Total","2003","1990","12","-","1","-"
"3304904101","Neves II - São Gonçalo (RJ)","Total","Total","1761","1596","111","51","3","-"
"3304904102","Novo México - São Gonçalo (RJ)","Total","Total","1439","1438","1","-","-","-"
"3304904103","Pita II - São Gonçalo (RJ)","Total","Total","2117","1822","24","267","4","-"
"3304904104","Santa Catarina II - São Gonçalo (RJ)","Total","Total","2346","1840","159","347","-","-"
"3304904105","Tenente Jardim - São Gonçalo (RJ)","Total","Total","989","973","5","11","-","-"
"3304904106","Tribobó III - São Gonçalo (RJ)","Total","Total","3558","2793","371","117","277","-"
"3304904107","Venda da Cruz - São Gonçalo (RJ)","Total","Total","2166","1827","195","137","7","-"
"3304904108","Zumbi - São Gonçalo (RJ)","Total","Total","1374","1348","12","2","12","-"
"3305109001","Vila Tiradentes - São João de Meriti (RJ)","Total","Total","5631","5059","424","112","36","-"
"3305109002","Vilar dos Teles - São João de Meriti (RJ)","Total","Total","28511","24829","2677","795","210","-"
"3305109003","Jardim Meriti - São João de Meriti (RJ)","Total","Total","8878","7460","1062","348","8","-"
"3305109004","Eden - São João de Meriti (RJ)","Total","Total","20063","17593","1757","586","127","-"
"3305109005","Engenheiro Belford - São João de Meriti (RJ)","Total","Total","3848","3228","366","245","9","-"
"3305109006","Agostinho Porto - São João de Meriti (RJ)","Total","Total","4144","3150","774","162","58","-"
"3305109007","Vila Rosali - São João de Meriti (RJ)","Total","Total","7043","5391","1329","226","97","-"
"3305109008","Venda Velha - São João de Meriti (RJ)","Total","Total","8278","7520","616","129","13","-"
"3305109009","Parque Araruama - São João de Meriti (RJ)","Total","Total","9675","8707","813","115","40","-"
"3305109010","Jardim Sumaré - São João de Meriti (RJ)","Total","Total","10789","9547","1069","155","18","-"
"3305109011","Jardim Metrópole - São João de Meriti (RJ)","Total","Total","6892","6333","385","142","32","-"
"3305109012","Jardim Paraiso - São João de Meriti (RJ)","Total","Total","2626","2517","97","11","1","-"
"3305109013","Coelho da Rocha - São João de Meriti (RJ)","Total","Total","13364","11801","879","628","56","-"
"3305109014","Tomazinho - São João de Meriti (RJ)","Total","Total","3829","3464","282","42","41","-"
"3305109015","São Matheus - São João de Meriti (RJ)","Total","Total","5170","4579","526","61","4","-"
"3305109016","Centro - São João de Meriti (RJ)","Total","Total","8479","6875","765","757","82","-"
"3305208001","Centro - São Pedro da Aldeia (RJ)","Total","Total","1256","881","23","349","3","-"
"3305208002","Nova São Pedro - São Pedro da Aldeia (RJ)","Total","Total","118","76","5","37","-","-"
"3305208003","Porto da Aldeia - São Pedro da Aldeia (RJ)","Total","Total","1545","1315","76","87","67","-"
"3305208004","Poço Fundo - São Pedro da Aldeia (RJ)","Total","Total","604","577","9","18","-","-"
"3305208005","Boqueirão - São Pedro da Aldeia (RJ)","Total","Total","415","385","21","9","-","-"
"3305208006","Praia do Sudoeste - São Pedro da Aldeia (RJ)","Total","Total","112","103","7","2","-","-"
"3305208007","Baleia - São Pedro da Aldeia (RJ)","Total","Total","209","207","-","-","2","-"
"3305208008","Estação - São Pedro da Aldeia (RJ)","Total","Total","825","600","6","219","-","-"
"3305208009","São José - São Pedro da Aldeia (RJ)","Total","Total","546","410","61","70","5","-"
"3305208010","Fluminense - São Pedro da Aldeia (RJ)","Total","Total","404","374","9","17","4","-"
"3305208011","Bela Vista - São Pedro da Aldeia (RJ)","Total","Total","537","474","20","43","-","-"
"3305208012","Jardim Soledade - São Pedro da Aldeia (RJ)","Total","Total","406","373","31","2","-","-"
"3305208013","Morro do Milagre - São Pedro da Aldeia (RJ)","Total","Total","872","797","61","12","2","-"
"3305208014","Boa Vista - São Pedro da Aldeia (RJ)","Total","Total","458","186","272","-","-","-"
"3305208015","Jardim Morada da Aldeia - São Pedro da Aldeia (RJ)","Total","Total","291","277","14","-","-","-"
"3305208016","Recanto do Sol - São Pedro da Aldeia (RJ)","Total","Total","274","269","-","4","1","-"
"3305208017","Jardim das Acácias - São Pedro da Aldeia (RJ)","Total","Total","359","359","-","-","-","-"
"3305208018","Santo Antônio - São Pedro da Aldeia (RJ)","Total","Total","203","203","-","-","-","-"
"3305208019","Rua do Fogo - São Pedro da Aldeia (RJ)","Total","Total","96","96","-","-","-","-"
"3305208020","Pinheiros - São Pedro da Aldeia (RJ)","Total","Total","340","290","49","1","-","-"
"3305208021","Flexeiras - São Pedro da Aldeia (RJ)","Total","Total","380","371","9","-","-","-"
"3305208022","Balneário São Pedro - São Pedro da Aldeia (RJ)","Total","Total","503","449","38","14","2","-"
"3305208023","Balneário São Pedro 2 - São Pedro da Aldeia (RJ)","Total","Total","690","580","74","32","4","-"
"3305208024","Parque dos Meninos - São Pedro da Aldeia (RJ)","Total","Total","242","242","-","-","-","-"
"3305208025","Balneário das Conchas - São Pedro da Aldeia (RJ)","Total","Total","817","812","1","4","-","-"
"3305208026","Jardim Arco-Íris - São Pedro da Aldeia (RJ)","Total","Total","205","202","-","3","-","-"
"3305208027","Praia Linda - São Pedro da Aldeia (RJ)","Total","Total","881","825","40","15","1","-"
"3305208028","Campo Redondo - São Pedro da Aldeia (RJ)","Total","Total","2062","1894","128","39","1","-"
"3305208029","Colina - São Pedro da Aldeia (RJ)","Total","Total","710","700","-","10","-","-"
"3305208030","São João - São Pedro da Aldeia (RJ)","Total","Total","2531","2487","7","36","1","-"
"3305208031","Parque Estoril - São Pedro da Aldeia (RJ)","Total","Total","608","606","-","2","-","-"
"3305208032","Baixo Grande - São Pedro da Aldeia (RJ)","Total","Total","848","768","8","72","-","-"
"3305208033","Ponta do Ambrósio - São Pedro da Aldeia (RJ)","Total","Total","522","521","-","1","-","-"
"3305208034","Vinhateiro - São Pedro da Aldeia (RJ)","Total","Total","1054","1035","8","11","-","-"
"3305208035","Jardim Primavera - São Pedro da Aldeia (RJ)","Total","Total","395","394","-","1","-","-"
"3305208036","Porto do Carro - São Pedro da Aldeia (RJ)","Total","Total","1819","1799","4","16","-","-"
"3305208037","Recanto das Orquídeas - São Pedro da Aldeia (RJ)","Total","Total","798","797","-","1","-","-"
"3305208038","Parque Arruda - São Pedro da Aldeia (RJ)","Total","Total","134","132","1","1","-","-"
"3305208039","Alecrim - São Pedro da Aldeia (RJ)","Total","Total","514","511","-","1","2","-"
"3305208040","Base AeroNaval - São Pedro da Aldeia (RJ)","Total","Total","444","40","383","21","-","-"
"3305505001","Areal - Saquarema (RJ)","Total","Total","129","127","2","-","-","-"
"3305505002","Barra Nova - Saquarema (RJ)","Total","Total","604","577","9","18","-","-"
"3305505003","Boqueirão - Saquarema (RJ)","Total","Total","984","924","29","30","1","-"
"3305505004","Centro - Saquarema (RJ)","Total","Total","296","219","13","64","-","-"
"3305505005","Coqueiral - Saquarema (RJ)","Total","Total","393","372","2","13","6","-"
"3305505006","Gravatá - Saquarema (RJ)","Total","Total","387","371","4","12","-","-"
"3305505007","Guarani - Saquarema (RJ)","Total","Total","481","481","-","-","-","-"
"3305505008","Ipitangas - Saquarema (RJ)","Total","Total","683","671","5","2","5","-"
"3305505009","Itauna - Saquarema (RJ)","Total","Total","1132","954","103","74","1","-"
"3305505010","Jardim - Saquarema (RJ)","Total","Total","360","357","1","2","-","-"
"3305505011","Leigos - Saquarema (RJ)","Total","Total","463","455","7","1","-","-"
"3305505012","Mombaça - Saquarema (RJ)","Total","Total","281","278","-","3","-","-"
"3305505013","Porto da Roça I - Saquarema (RJ)","Total","Total","951","853","72","25","1","-"
"3305505014","Porto Novo - Saquarema (RJ)","Total","Total","396","361","9","26","-","-"
"3305505015","Vilatur - Saquarema (RJ)","Total","Total","1128","1116","2","10","-","-"
"3305505016","Água Branca - Saquarema (RJ)","Total","Total","178","178","-","-","-","-"
"3305505017","Alvorada - Saquarema (RJ)","Total","Total","330","330","-","-","-","-"
"3305505018","Asfalto Velho - Saquarema (RJ)","Total","Total","252","227","23","2","-","-"
"3305505019","Aterrado - Saquarema (RJ)","Total","Total","113","96","3","14","-","-"
"3305505020","Bacaxá - Saquarema (RJ)","Total","Total","1563","1420","32","111","-","-"
"3305505021","Barreira - Saquarema (RJ)","Total","Total","681","657","12","4","8","-"
"3305505022","Bicuíba - Saquarema (RJ)","Total","Total","216","216","-","-","-","-"
"3305505023","Bonsucesso - Saquarema (RJ)","Total","Total","619","607","6","4","2","-"
"3305505024","Caixa D'Água - Saquarema (RJ)","Total","Total","227","218","3","6","-","-"
"3305505025","Comum - Saquarema (RJ)","Total","Total","94","69","10","-","15","-"
"3305505026","Condado de Bacaxá - Saquarema (RJ)","Total","Total","146","144","2","-","-","-"
"3305505027","de Fátima - Saquarema (RJ)","Total","Total","337","318","7","12","-","-"
"3305505028","Engenho Grande - Saquarema (RJ)","Total","Total","423","422","1","-","-","-"
"3305505029","Madressilva - Saquarema (RJ)","Total","Total","796","790","-","5","1","-"
"3305505030","Morro dos Pregos - Saquarema (RJ)","Total","Total","11","11","-","-","-","-"
"3305505031","Parque Marina - Saquarema (RJ)","Total","Total","93","91","-","2","-","-"
"3305505032","Porto da Roça II - Saquarema (RJ)","Total","Total","509","495","9","5","-","-"
"3305505033","Raia - Saquarema (RJ)","Total","Total","488","456","24","7","1","-"
"3305505034","Retiro - Saquarema (RJ)","Total","Total","1018","960","40","12","6","-"
"3305505035","Rio da Areia - Saquarema (RJ)","Total","Total","1033","1018","7","8","-","-"
"3305505036","Rio Seco - Saquarema (RJ)","Total","Total","406","400","3","3","-","-"
"3305505037","São Geraldo - Saquarema (RJ)","Total","Total","539","477","16","46","-","-"
"3305505038","Verde Vale - Saquarema (RJ)","Total","Total","195","178","8","9","-","-"
"3305505039","Basilea - Saquarema (RJ)","Total","Total","846","800","44","2","-","-"
"3305505041","Jaconé - Saquarema (RJ)","Total","Total","1569","1503","17","49","-","-"
"3305505042","Sampaio Correia - Saquarema (RJ)","Total","Total","335","332","-","2","1","-"
"3305505043","Serra de Mato Grosso - Saquarema (RJ)","Total","Total","230","207","22","1","-","-"
"3305505044","Tingui - Saquarema (RJ)","Total","Total","21","21","-","-","-","-"
"3305752001","Centro - Tanguá (RJ)","Total","Total","1394","1324","53","17","-","-"
"3305752002","Vila Cortes - Tanguá (RJ)","Total","Total","1733","1691","20","2","20","-"
"3305752003","Ampliação - Tanguá (RJ)","Total","Total","1144","1019","94","-","31","-"
"3305752004","Pinhão - Tanguá (RJ)","Total","Total","1425","1376","46","-","3","-"
"3305752005","Bandeirantes - Tanguá (RJ)","Total","Total","1658","1542","116","-","-","-"
"3305752006","Duques - Tanguá (RJ)","Total","Total","719","717","-","2","-","-"
"3305752007","Mangueirinha - Tanguá (RJ)","Total","Total","160","159","-","-","1","-"
"3305752008","Mangueiras - Tanguá (RJ)","Total","Total","188","188","-","-","-","-"
"3305752009","Minério - Tanguá (RJ)","Total","Total","49","49","-","-","-","-"
"3305752010","Núcleo Urbano de Posse dos Coutinhos - Tanguá (RJ)","Total","Total","131","131","-","-","-","-"
"3305802001","Várzea - Teresópolis (RJ)","Total","Total","3417","451","150","2815","1","-"
"3305802002","Alto - Teresópolis (RJ)","Total","Total","2518","694","134","1657","33","-"
"3305802003","São Pedro - Teresópolis (RJ)","Total","Total","6300","5874","192","231","3","-"
"3305802004","Barra do Imbuí - Teresópolis (RJ)","Total","Total","2653","2446","37","156","14","-"
"3305802005","Tijuca - Teresópolis (RJ)","Total","Total","1299","835","235","225","4","-"
"3305802006","Bom Retiro - Teresópolis (RJ)","Total","Total","538","415","53","70","-","-"
"3305802007","Araras - Teresópolis (RJ)","Total","Total","586","530","30","26","-","-"
"3305802008","Barroso - Teresópolis (RJ)","Total","Total","642","570","11","3","58","-"
"3305802009","Carlos Guinle - Teresópolis (RJ)","Total","Total","436","390","36","10","-","-"
"3305802010","Meudom - Teresópolis (RJ)","Total","Total","2201","2136","32","33","-","-"
"3305802011","Ermitage - Teresópolis (RJ)","Total","Total","569","368","26","175","-","-"
"3305802012","Parque São Luiz - Teresópolis (RJ)","Total","Total","244","200","30","-","14","-"
"3305802013","Fazendinha - Teresópolis (RJ)","Total","Total","360","327","-","10","23","-"
"3305802014","Cascata Guarani - Teresópolis (RJ)","Total","Total","1073","816","59","63","135","-"
"3305802015","Jardim Cascata - Teresópolis (RJ)","Total","Total","159","88","2","69","-","-"
"3305802016","Morro dos Pinheiros - Teresópolis (RJ)","Total","Total","703","699","4","-","-","-"
"3305802017","Soberbo - Teresópolis (RJ)","Total","Total","152","139","9","4","-","-"
"3305802018","Granja Guarani - Teresópolis (RJ)","Total","Total","821","801","18","2","-","-"
