Tabela 1552 - População residente, por situação do domicílio e sexo, segundo a forma de declaração da idade e a idade;;
Variável - População residente (Pessoas);;
Forma de declaração da idade - Total;;
Idade - Soma (0 a 4 anos + 5 a 9 anos + 10 a 14 anos + 15 anos + 16 anos + 17 anos + 18 anos);;
Ano - 2010;;
Situação do domicílio - Total;;
Sexo - Total;;
Cód.;Município;
2112456;Turilândia (MA);10419
2112506;Tutóia (MA);23735
2112605;Urbano Santos (MA);11582
2112704;Vargem Grande (MA);21636
2112803;Viana (MA);20403
2112852;Vila Nova dos Martírios (MA);4788
2112902;Vitória do Mearim (MA);13092
2113009;Vitorino Freire (MA);12496
2114007;Zé Doca (MA);20617
2200053;Acauã (PI);2433
2200103;Agricolândia (PI);1741
2200202;Água Branca (PI);5748
2200251;Alagoinha do Piauí (PI);2236
2200277;Alegrete do Piauí (PI);1802
2200301;Alto Longá (PI);4473
2200400;Altos (PI);13384
2200459;Alvorada do Gurguéia (PI);2140
2200509;Amarante (PI);5954
2200608;Angical do Piauí (PI);2237
2200707;Anísio de Abreu (PI);3314
2200806;Antônio Almeida (PI);1054
2200905;Aroazes (PI);1906
2200954;Aroeiras do Itaim (PI);694
2201002;Arraial (PI);1813
2201051;Assunção do Piauí (PI);3230
2201101;Avelino Lopes (PI);4126
2201150;Baixa Grande do Ribeiro (PI);4621
2201176;Barra D'Alcântara (PI);1312
2201200;Barras (PI);16838
2201309;Barreiras do Piauí (PI);1288
2201408;Barro Duro (PI);2326
2201507;Batalha (PI);9504
2201556;Bela Vista do Piauí (PI);1362
2201572;Belém do Piauí (PI);1079
2201606;Beneditinos (PI);3336
2201705;Bertolínia (PI);1908
2201739;Betânia do Piauí (PI);2427
2201770;Boa Hora (PI);2452
2201804;Bocaina (PI);1235
2201903;Bom Jesus (PI);8486
