"Tabela 3604 - Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, que, no trabalho principal, trabalhavam fora do domicílio e retornavam diariamente do trabalho para o domicílio, exclusive as pessoas que, no trabalho principal, trabalhavam em mais de um município ou país, por tempo habitual de deslocamento do domicílio para o trabalho principal, segundo a situação do domicílio e os grupos de horas habitualmente trabalhadas por semana no trabalho principal"
"Variável - Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, que, no trabalho principal, trabalhavam fora do domicílio e retornavam diariamente do trabalho para o domicílio, exclusive as pessoas que, no trabalho principal, trabalhavam em mais de um município ou país (Pessoas)"
"Cód.","Município","Grupos de horas habitualmente trabalhadas por semana no trabalho principal","Ano x Tempo habitual de deslocamento do domicílio para o trabalho principal x Situação do domicílio"
"Cód.","Município","Grupos de horas habitualmente trabalhadas por semana no trabalho principal","2010"
"Cód.","Município","Grupos de horas habitualmente trabalhadas por semana no trabalho principal","Até cinco minutos","De seis minutos até meia hora","Mais de meia hora até uma hora","Mais de uma hora até duas horas","Mais de duas horas"
"Cód.","Município","Grupos de horas habitualmente trabalhadas por semana no trabalho principal","Total","Total","Total","Total","Total"
"1507300","São Félix do Xingu (PA)","Total","2005","8823","1580","348","167"
"1507409","São Francisco do Pará (PA)","Total","580","2252","359","47","10"
"1507458","São Geraldo do Araguaia (PA)","Total","2276","3757","496","135","87"
"1507466","São João da Ponta (PA)","Total","352","837","220","52","17"
"1507474","São João de Pirabas (PA)","Total","981","2250","389","248","67"
"1507508","São João do Araguaia (PA)","Total","346","1005","408","87","73"
"1507607","São Miguel do Guamá (PA)","Total","3619","10235","1251","235","146"
"1507706","São Sebastião da Boa Vista (PA)","Total","1056","2849","791","169","115"
"1507755","Sapucaia (PA)","Total","733","857","89","39","10"
"1507805","Senador José Porfírio (PA)","Total","547","1097","352","171","56"
"1507904","Soure (PA)","Total","1377","3093","437","137","88"
"1507953","Tailândia (PA)","Total","2807","11410","1948","515","195"
"1507961","Terra Alta (PA)","Total","551","1094","422","92","88"
"1507979","Terra Santa (PA)","Total","829","1532","218","195","50"
"1508001","Tomé-Açu (PA)","Total","4974","8464","1274","385","88"
"1508035","Tracuateua (PA)","Total","1591","4709","1292","339","107"
"1508050","Trairão (PA)","Total","720","1770","730","326","123"
"1508084","Tucumã (PA)","Total","1628","5749","1219","249","144"
"1508100","Tucuruí (PA)","Total","4433","19564","3638","586","289"
"1508126","Ulianópolis (PA)","Total","1176","5844","1198","154","50"
"1508159","Uruará (PA)","Total","2442","5610","861","269","108"
"1508209","Vigia (PA)","Total","2271","6598","825","254","144"
"1508308","Viseu (PA)","Total","2224","4169","1925","993","324"
"1508357","Vitória do Xingu (PA)","Total","716","1245","471","138","171"
"1508407","Xinguara (PA)","Total","2638","7064","945","163","107"
"1600055","Serra do Navio (AP)","Total","259","593","184","141","15"
"1600105","Amapá (AP)","Total","461","957","115","45","49"
"1600154","Pedra Branca do Amapari (AP)","Total","568","1609","309","116","16"
"1600204","Calçoene (AP)","Total","703","1248","209","65","76"
"1600212","Cutias (AP)","Total","342","584","213","67","7"
"1600238","Ferreira Gomes (AP)","Total","416","787","132","57","32"
"1600253","Itaubal (AP)","Total","120","283","115","42","-"
"1600279","Laranjal do Jari (AP)","Total","1893","5427","2075","1172","435"
"1600303","Macapá (AP)","Total","17187","81348","21415","4312","1222"
"1600402","Mazagão (AP)","Total","973","1485","372","127","55"
